,State,Number_feature,Time_Step,number_layers,number_hiddinen_nodes,MAE,RMSE,R2_Score
0,Maharashtra,1,5,1,1,0.095246821641922,0.10311210905769312,0.5390936742494574
1,Maharashtra,1,5,1,5,0.5007563233375549,0.5172999948278516,-10.600543097811101
2,Maharashtra,1,5,1,8,0.042321495711803436,0.04410362338512479,0.9156778087009252
3,Maharashtra,1,5,1,16,0.0205653328448534,0.024156272771893684,0.974703923135118
4,Maharashtra,1,5,1,32,0.03203285485506058,0.03435052344364644,0.9488483021691589
5,Maharashtra,1,7,1,1,0.5075278282165527,0.523822443602017,-12.053781875289697
6,Maharashtra,1,7,1,5,0.06042422354221344,0.06762344819498979,0.7824481815994074
7,Maharashtra,1,7,1,8,0.05860390141606331,0.06046845179430055,0.8260494529001905
8,Maharashtra,1,7,1,16,0.011438140645623207,0.013905442240680542,0.9908010606437428
9,Maharashtra,1,7,1,32,0.019935842603445053,0.023538547979803114,0.973641090343605
10,Maharashtra,1,15,1,1,0.5106510519981384,0.5205663823424832,-18.852804818113754
11,Maharashtra,1,15,1,5,0.031725164502859116,0.03563403602139627,0.9069750078416629
12,Maharashtra,1,15,1,8,0.05180390924215317,0.05246392189379339,0.7983532755390886
13,Maharashtra,1,15,1,16,0.030412303283810616,0.04133599761135883,0.8748224471841539
14,Maharashtra,1,15,1,32,0.09036236256361008,0.0911973234468153,0.39069628962235825
15,Maharashtra,2,5,1,1,0.3607776463031769,0.3853709885446912,-5.4380055828788665
16,Maharashtra,2,5,1,5,0.22483883798122406,0.23382887792035903,-1.3702250974599228
17,Maharashtra,2,5,1,8,0.19147242605686188,0.19715448591320114,-0.6850263320157208
18,Maharashtra,2,5,1,16,0.15644630789756775,0.15896085897949846,-0.09540242886409933
19,Maharashtra,2,5,1,32,0.08815932273864746,0.08902880884682039,0.6563989895354347
20,Maharashtra,2,7,1,1,0.3995361030101776,0.42280740485324947,-7.504586760892861
21,Maharashtra,2,7,1,5,0.1954287588596344,0.20120154782312732,-0.9258868784947454
22,Maharashtra,2,7,1,8,0.19335415959358215,0.19834137300383553,-0.871521087227682
23,Maharashtra,2,7,1,16,0.19050732254981995,0.19402840976783584,-0.7910131357059311
