,State,Number_feature,Time_Step,number_layers,kernel_size,MAE,RMSE,R2_Score
0,Maharashtra,1,5,2,1,0.015394525602459908,0.015477755148825338,0.9896149336593238
1,Maharashtra,1,5,2,2,0.09661561250686646,0.10170541849537802,0.5515835849980577
2,Maharashtra,1,5,2,3,0.06732707470655441,0.07181150894854843,0.7764465257766566
3,Maharashtra,1,5,2,4,0.08586865663528442,0.0918359216879081,0.6343896586927695
4,Maharashtra,1,5,3,1,0.08245310187339783,0.08798594339378871,0.6644015676815571
5,Maharashtra,1,5,3,2,0.15374372899532318,0.16134280768353326,-0.12847657684655323
6,Maharashtra,1,5,3,3,0.16002489626407623,0.16837078595711333,-0.22892903975936219
7,Maharashtra,1,5,3,4,0.10540034621953964,0.11165671209975847,0.4595407169498644
8,Maharashtra,1,5,4,1,0.055828481912612915,0.06453593670611109,0.8194504019102766
9,Maharashtra,1,5,4,2,0.15744070708751678,0.1704727648079578,-0.2598050363231674
10,Maharashtra,1,5,4,3,0.1510939598083496,0.1607878778813526,-0.12072721446711832
11,Maharashtra,1,5,4,4,0.08633390814065933,0.09727866131389204,0.5897689845827229
12,Maharashtra,1,7,2,1,0.11093521863222122,0.11521279003552341,0.36850558934957
13,Maharashtra,1,7,2,2,0.1418474167585373,0.1472733042811841,-0.031849054348579875
14,Maharashtra,1,7,2,3,0.07442670315504074,0.07796665775094869,0.710808226576396
15,Maharashtra,1,7,2,4,0.10474591702222824,0.11099111426691051,0.4139367114653928
16,Maharashtra,1,7,3,1,0.03490526229143143,0.03992275027353239,0.9241755964282244
17,Maharashtra,1,7,3,2,0.09851983189582825,0.10419463189566279,0.4835137100571174
18,Maharashtra,1,7,3,3,0.14503908157348633,0.15403121701242314,-0.128718427145478
19,Maharashtra,1,7,3,4,0.07816250622272491,0.08393375678869257,0.6648482954442658
20,Maharashtra,1,7,4,1,0.21727518737316132,0.22313824567560686,-1.3687330490858796
21,Maharashtra,1,7,4,2,0.17644067108631134,0.1854720617350543,-0.6365341941652749
22,Maharashtra,1,7,4,3,0.17052993178367615,0.17981272977602814,-0.5381865134875035
23,Maharashtra,1,7,4,4,0.11878824979066849,0.12655392017246092,0.23806258794215462
24,Maharashtra,1,15,2,1,0.010196423158049583,0.01190215073732767,0.9896218352896694
25,Maharashtra,1,15,2,2,0.004849713761359453,0.005987239665858367,0.9973738294254193
26,Maharashtra,1,15,2,3,0.1217900738120079,0.12595146875554852,-0.1621873150824984
27,Maharashtra,1,15,2,4,0.05601627007126808,0.05806939824669052,0.7529617017812773
28,Maharashtra,1,15,3,1,0.022496456280350685,0.022688984294371325,0.9622862514561495
29,Maharashtra,1,15,3,2,0.0912843570113182,0.09254202843192741,0.3725954079333449
30,Maharashtra,1,15,3,3,0.11332730203866959,0.11649862311024352,0.00571421527977467
31,Maharashtra,1,15,3,4,0.10599306225776672,0.11026749320229394,0.10923194547149317
32,Maharashtra,1,15,4,1,0.14555194973945618,0.1511458408994123,-0.6736402117974947
33,Maharashtra,1,15,4,2,0.04021706059575081,0.046601850663834606,0.8408978715581913
34,Maharashtra,1,15,4,3,0.1328667551279068,0.13964534969517356,-0.4286393889244684
35,Maharashtra,1,15,4,4,0.08767975866794586,0.09234777475677576,0.3752265789932556
36,Maharashtra,1,30,2,1,0.050191283226013184,0.05328138637035851,0.36797045554039376
37,Maharashtra,1,30,2,2,0.06555858254432678,0.07081209289689644,-0.11635212025961517
38,Maharashtra,1,30,2,3,0.09304839372634888,0.09708459910176788,-1.098393970942276
39,Maharashtra,1,30,2,4,0.03466552868485451,0.03919124843459558,0.6580484545774781
40,Maharashtra,1,30,3,1,0.03838560730218887,0.04225827347075038,0.6024334378221421
41,Maharashtra,1,30,3,2,0.0594094917178154,0.06526738291111142,0.05162798889464082
42,Maharashtra,1,30,3,3,0.05970355495810509,0.06442838974468255,0.0758533738578806
43,Maharashtra,1,30,3,4,0.04758046567440033,0.05315836908530602,0.3708855700060173
44,Maharashtra,1,30,4,1,0.08932863175868988,0.0969948784450674,-1.0945174243874538
45,Maharashtra,1,30,4,2,0.020487478002905846,0.02489136706384739,0.8620620086784482
46,Maharashtra,1,30,4,3,0.08692595362663269,0.09217839398104143,-0.8916666034255778
47,Maharashtra,1,30,4,4,0.10382571071386337,0.11058330255843733,-1.7224848533669461
48,Maharashtra,2,5,2,1,0.04442403092980385,0.05054828501802728,0.8892340791197688
49,Maharashtra,2,5,2,2,0.12233788520097733,0.1311614975678188,0.2542280541018467
50,Maharashtra,2,5,2,3,0.10807225108146667,0.11724405116294664,0.4040978913408788
51,Maharashtra,2,5,2,4,0.08335382491350174,0.09260429221760864,0.6282460887911706
52,Maharashtra,2,5,3,1,0.18334096670150757,0.19069334509064118,-0.5763927039065697
53,Maharashtra,2,5,3,2,0.08760678023099899,0.09674253251461602,0.5942783080846306
54,Maharashtra,2,5,3,3,0.16842563450336456,0.1791116464120254,-0.3907240140463768
55,Maharashtra,2,5,3,4,0.06680072098970413,0.0793467624300157,0.7270696811690311
56,Maharashtra,2,5,4,1,0.08918420225381851,0.09674818810379195,0.5942308845854503
57,Maharashtra,2,5,4,2,0.1226927638053894,0.13832368253552407,0.17055728207013032
58,Maharashtra,2,5,4,3,0.10719499737024307,0.12144912978142633,0.36058603942122625
59,Maharashtra,2,5,4,4,0.1346309334039688,0.14495474398926922,0.08912628617453733
60,Maharashtra,2,7,2,1,0.09053187072277069,0.09508606442643676,0.5698678528834775
61,Maharashtra,2,7,2,2,0.06386423856019974,0.06837034478044587,0.7776159438886767
62,Maharashtra,2,7,2,3,0.08452130854129791,0.09156444220387121,0.6011387792521503
63,Maharashtra,2,7,2,4,0.08973425626754761,0.09325263593293691,0.5862954092755273
64,Maharashtra,2,7,3,1,0.10335753113031387,0.11000274283609132,0.42432795261789924
65,Maharashtra,2,7,3,2,0.11725559085607529,0.1277675328979384,0.22337906213951408
66,Maharashtra,2,7,3,3,0.14255185425281525,0.1546934981580004,-0.13844541148295297
67,Maharashtra,2,7,3,4,0.10367349535226822,0.11632331255353531,0.3562732463510262
68,Maharashtra,2,7,4,1,0.02285199798643589,0.02572565428577005,0.9685151978982419
69,Maharashtra,2,7,4,2,0.11256629228591919,0.12715451332963212,0.23081347019089327
70,Maharashtra,2,7,4,3,0.12167265266180038,0.13587890573457448,0.1216407038898134
71,Maharashtra,2,7,4,4,0.08552373945713043,0.09646688507416497,0.5572845927334913
72,Maharashtra,2,15,2,1,0.11306556314229965,0.11504725441642802,0.03033401700695959
73,Maharashtra,2,15,2,2,0.014843437820672989,0.01629084767992626,0.9805572783062457
74,Maharashtra,2,15,2,3,0.022375885397195816,0.02725643667500147,0.9455738260948728
75,Maharashtra,2,15,2,4,0.09896904230117798,0.10671524940630614,0.1656992729305793
76,Maharashtra,2,15,3,1,0.11991380155086517,0.12606910145580905,-0.1643593117013098
77,Maharashtra,2,15,3,2,0.016368208453059196,0.01816496673763592,0.975826537640176
78,Maharashtra,2,15,3,3,0.06664009392261505,0.07118622665505635,0.6287541484574608
79,Maharashtra,2,15,3,4,0.06782127171754837,0.07502322197565076,0.5876546282137208
80,Maharashtra,2,15,4,1,0.07025308161973953,0.07567426254831054,0.5804670665279348
81,Maharashtra,2,15,4,2,0.10295558720827103,0.11221472827484354,0.07749363378378049
82,Maharashtra,2,15,4,3,0.029522135853767395,0.03593846843285377,0.9053787207113972
83,Maharashtra,2,15,4,4,0.08897709846496582,0.10013460547321246,0.26542176755847047
84,Maharashtra,2,30,2,1,0.11665719002485275,0.1203186431468263,-2.2229398532826146
85,Maharashtra,2,30,2,2,0.03846978396177292,0.04482932508384026,0.5525847762262841
86,Maharashtra,2,30,2,3,0.04590131714940071,0.05004965618658066,0.4423154985532296
87,Maharashtra,2,30,2,4,0.07532079517841339,0.0819221975155393,-0.49413405063875815
88,Maharashtra,2,30,3,1,0.08857123553752899,0.09610514960863771,-1.0562679302766238
89,Maharashtra,2,30,3,2,0.0845482274889946,0.09043427943853367,-0.8207591164714259
90,Maharashtra,2,30,3,3,0.0817980021238327,0.08700276787954744,-0.6852040296814874
91,Maharashtra,2,30,3,4,0.058741241693496704,0.0677940803058642,-0.023222064918021035
92,Maharashtra,2,30,4,1,0.024601921439170837,0.03294416730336358,0.758374132082726
93,Maharashtra,2,30,4,2,0.09645675122737885,0.10477001030951331,-1.443769855777151
94,Maharashtra,2,30,4,3,0.06663381308317184,0.07711775990670695,-0.32402191488257603
95,Maharashtra,2,30,4,4,0.05020471662282944,0.05659826108467274,0.2868308901082065
96,Maharashtra,3,5,2,1,0.11028110980987549,0.11240851951224382,0.4522381680051303
97,Maharashtra,3,5,2,2,0.12126113474369049,0.12781364331981526,0.2918133543865483
98,Maharashtra,3,5,2,3,0.04309508204460144,0.04430353339593537,0.9149116612548608
99,Maharashtra,3,5,2,4,0.08288951218128204,0.08588146420196634,0.6802635334685507
100,Maharashtra,3,5,3,1,0.10186967253684998,0.10814226225638884,0.4930277771623993
101,Maharashtra,3,5,3,2,0.08105359971523285,0.09126674488662556,0.6389075370336811
102,Maharashtra,3,5,3,3,0.08264444023370743,0.08788605784099834,0.6651631152733584
