,State,Number_feature,Time_Step,number_layers,number_hiddinen_nodes,MAE,RMSE,R2_Score
0,Maharashtra,1,5,1,1,0.186309814453125,0.20962609493467818,-0.5455242136354903
1,Maharashtra,1,5,1,5,0.20741288363933563,0.22724761634516571,-0.816284181817962
2,Maharashtra,1,5,1,8,0.06021079421043396,0.06290776629262071,0.860814594888918
3,Maharashtra,1,5,1,16,0.10984089970588684,0.11732861049758414,0.5158354493986239
4,Maharashtra,1,5,1,32,0.08542444556951523,0.08952478615993058,0.7181151833940111
5,Maharashtra,1,7,1,1,0.18094442784786224,0.19970914844239415,-0.5175317164185362
6,Maharashtra,1,7,1,5,0.29033347964286804,0.31145267220947775,-2.6908464375151304
7,Maharashtra,1,7,1,8,0.03132259473204613,0.03142333202822833,0.962429558625061
8,Maharashtra,1,7,1,16,0.04701019823551178,0.04749138948156329,0.9141833383754618
9,Maharashtra,1,7,1,32,0.10850764065980911,0.11316502709285427,0.5127338119086586
10,Maharashtra,1,15,1,1,0.15835365653038025,0.1667673314840994,-0.5333172514066642
11,Maharashtra,1,15,1,5,0.07457349449396133,0.07495491813715952,0.6902507010549064
12,Maharashtra,1,15,1,8,0.13101407885551453,0.1327814879393965,0.027957799120935434
13,Maharashtra,1,15,1,16,0.12541164457798004,0.12569119416370228,0.12899668635439177
14,Maharashtra,1,15,1,32,0.0367203950881958,0.04142469532850401,0.9053918177585805
15,Maharashtra,2,5,1,1,0.5134920477867126,0.5342078611207526,-9.037041272293926
16,Maharashtra,2,5,1,5,0.1810571849346161,0.19047686652648252,-0.2760557752941406
17,Maharashtra,2,5,1,8,0.23196135461330414,0.24315337651683464,-1.079436800740464
18,Maharashtra,2,5,1,16,0.2395283579826355,0.25160175040974947,-1.226447509660355
19,Maharashtra,2,5,1,32,0.15116117894649506,0.15647598851661593,0.1388464914831239
20,Maharashtra,2,7,1,1,0.29478418827056885,0.3119119953428598,-2.7017408376524186
21,Maharashtra,2,7,1,5,0.2599932849407196,0.2783549504727417,-1.948083170627517
22,Maharashtra,2,7,1,8,0.14580757915973663,0.15202069876146768,0.12067933189784563
23,Maharashtra,2,7,1,16,0.17824740707874298,0.1874764348162511,-0.33731960000805805
24,Maharashtra,2,7,1,32,0.11020877957344055,0.11267646536087936,0.516931986099054
