,State,Number_feature,Time_Step,number_layers,MAE,RMSE,R2_Score
0,Maharashtra,1,5,1,0.15275290608406067,0.16316617488064492,0.06363443091017351
1,Maharashtra,1,5,2,0.06135554984211922,0.06532572201198607,0.8499093726861228
2,Maharashtra,1,7,1,0.1545771211385727,0.16414228270545614,-0.02513911975501726
3,Maharashtra,1,7,2,0.09531388431787491,0.09884466421124843,0.62825227137314
4,Maharashtra,1,15,1,0.1661238968372345,0.1736985484449649,-0.6634219063278353
5,Maharashtra,1,15,2,0.14251066744327545,0.1481705259929273,-0.21041340508851714
6,Maharashtra,1,30,1,0.1733558624982834,0.17907979036240304,-3.741252542941938
7,Maharashtra,1,30,2,0.026882434263825417,0.034328518132080016,0.8257751844583067
8,Maharashtra,2,5,1,0.13458503782749176,0.14797479263704572,0.2298760487807633
9,Maharashtra,2,5,2,0.12560337781906128,0.1394253395887319,0.31629530055193655
10,Maharashtra,2,7,1,0.1271856129169464,0.14117290464784682,0.24169386184318653
11,Maharashtra,2,7,2,0.1373140662908554,0.14933832280925433,0.15143641369276606
12,Maharashtra,2,15,1,0.12307024002075195,0.13235260071371738,0.034227144740456295
13,Maharashtra,2,15,2,0.09968280792236328,0.10659660297066201,0.3735350600514935
14,Maharashtra,2,30,1,0.16681064665317535,0.17270047109130438,-3.409475230025749
15,Maharashtra,2,30,2,0.018071867525577545,0.020378234188813668,0.938604994303913
16,Maharashtra,3,5,1,0.15035615861415863,0.16086046148102776,0.08991124252026383
17,Maharashtra,3,5,2,0.13255971670150757,0.14142556927889904,0.29653737935725955
18,Maharashtra,3,7,1,0.18234620988368988,0.18983647799594494,-0.3712012842572099
19,Maharashtra,3,7,2,0.19440512359142303,0.20047120413166306,-0.5291349576129185
20,Maharashtra,3,15,1,0.1068480983376503,0.11825377628988513,0.2290252905262501
21,Maharashtra,3,15,2,0.09989051520824432,0.10146278291138583,0.4324245035252329
22,Maharashtra,3,30,1,0.061459533870220184,0.07278678458361905,0.2167417600741467
23,Maharashtra,3,30,2,0.051106661558151245,0.05355975157378156,0.5758914928095775
24,Maharashtra,4,5,1,0.13450972735881805,0.15168751078748252,0.19074613126292428
25,Maharashtra,4,5,2,0.11046161502599716,0.11814066757768465,0.5091102141120033
26,Maharashtra,4,7,1,0.11682915687561035,0.1384155564106703,0.2710266631673157
27,Maharashtra,4,7,2,0.11129654198884964,0.1271752321925255,0.3846150167725608
28,Maharashtra,4,15,1,0.18563221395015717,0.1899807357276381,-0.989890599988444
29,Maharashtra,4,15,2,0.16938631236553192,0.1819547070687922,-0.8253100323503764
30,Maharashtra,4,30,1,0.11290454864501953,0.12098616389184086,-1.1640699880232424
31,Maharashtra,4,30,2,0.08291753381490707,0.0956875438073405,-0.35366339961430615
32,Maharashtra,5,5,1,0.12801244854927063,0.14911916090756247,0.21791849441966116
33,Maharashtra,5,5,2,0.1263788491487503,0.14669047162353976,0.2431862889790528
34,Maharashtra,5,7,1,0.18411730229854584,0.20725595228082297,-0.6343907825959236
35,Maharashtra,5,7,2,0.17636674642562866,0.19335135048292787,-0.422447575706451
36,Maharashtra,5,15,1,0.2860535979270935,0.3063949037792274,-4.17574823448821
37,Maharashtra,5,15,2,0.17298583686351776,0.1930378253564734,-1.0544467989277941
38,Maharashtra,5,30,1,0.0889386534690857,0.10208805443914562,-0.5408122816832936
